domicilio_barrio,superficie_km_cuadrado,habitantes,densidad_habitantes,cantidad_denuncias,ratio
AGRONOMIA,2.1,34580,8645,112,0.012955465587044534
ALMAGRO,4.1,139262,33960,398,0.011719670200235571
BALVANERA,4.4,152198,34950,346,0.009899856938483548
BARRACAS,7.6,77474,10194,115,0.01128114577202276
BELGRANO,6.8,138942,20433,564,0.027602407869622668
BOEDO,2.6,48520,18662,143,0.0076626299432000855
CABALLITO,6.8,183396,25830,629,0.02435152922957801
CHACARITA,3.1,27440,9800,101,0.010306122448979592
COGHLAN,1.3,19177,14752,64,0.004338394793926247
COLEGIALES,2.3,56998,21922,230,0.01049174345406441
CONSTITUCION,2.1,45860,21838,42,0.001923253045150655
FLORES,7.8,150484,18578,411,0.02212294111314458
FLORESTA,2.3,39473,16447,183,0.011126649236942907
BOCA,3.1,46494,14089,27,0.0019163886720136277
PATERNAL,2.2,20053,8355,53,0.006343506882106523
LINIERS,4.3,44234,8191,191,0.023318276156757415
MATADEROS,7.3,64932,8544,250,0.029260299625468163
MONSERRAT,2.2,43560,19800,71,0.003585858585858586
MONTE CASTRO,2.6,34584,11926,184,0.015428475599530438
NUEVA POMPEYA,6.2,63276,10373,251,0.02419743565024583
NUÑEZ,4.5,53005,13591,246,0.018100213376499155
PALERMO,15.9,252312,14501,1262,0.08702848079442797
PARQUE AVELLANEDA,5.1,54191,10421,120,0.011515209672776125
PARQUE CHACABUCO,3.8,39473,16447,116,0.007052957986258893
PARQUE CHAS,1.4,39473,28195,134,0.004752615712005675
PARQUE PATRICIOS,3.7,40885,10759,57,0.005297890138488707
PUERTO MADERO,2.1,7000,3333,20,0.006000600060006
RECOLETA,5.9,188780,34959,228,0.006521925684373123
RETIRO,2.8,45002,15518,58,0.003737595050908622
SAAVEDRA,5.6,51723,8767,193,0.022014372077107335
SAN CRISTOBAL,2.1,49986,23803,86,0.003612989959248834
SAN NICOLÁS,2.3,33305,13877,78,0.005620811414570872
SAN TELMO,1.2,25969,19976,33,0.0016519823788546256
VELEZ SARSFIELD,2.4,35963,14985,99,0.006606606606606606
VERSALLES,1.5,14178,9452,34,0.0035971223021582736
VILLA CRESPO,3.6,89859,23647,313,0.0132363513342073
VILLA DEL PARQUE,3.4,58573,16270,202,0.012415488629379226
VILLA DEVOTO,6.4,71013,10760,352,0.03271375464684015
VILLA GRAL. MITRE,2.2,36090,16405,96,0.005851874428527888
VILLA LUGANO,9.0,114253,12419,109,0.008776874144456076
VILLA LURO,2.6,33058,12715,143,0.011246559182068423
VILLA ORTUZAR,1.8,22591,18826,179,0.009508127058323596
VILLA PUEYRREDON,3.3,40235,10874,246,0.02262276990987677
VILLA REAL,1.3,14278,9519,55,0.0057779178485134995
VILLA RIACHUELO,4.1,14960,3400,35,0.010294117647058823
VILLA SANTA RITA,2.2,33850,14717,138,0.009376911055242236
VILLA SOLDATI,8.6,41228,4739,516,0.10888373074488289
VILLA URQUIZA,5.4,89360,15957,762,0.04775333709343862
